,time,median_length,median_delay,median_speed_kmh,total_records,median_level,Year,Month,Date_no,Hour,Day,level
283,2022-07-14 12:00:00,316.0,86.0,9.115,10,3.0,2022,7,14,12,5,3
284,2022-07-14 13:00:00,733.0,166.0,20.25,2,2.0,2022,7,14,13,5,2
285,2022-07-14 13:00:00,843.0,66.0,21.99,1,2.0,2022,7,14,13,5,2
286,2022-07-14 14:00:00,630.5,89.0,15.69,6,2.0,2022,7,14,14,5,2
287,2022-07-14 14:00:00,360.0,140.0,7.32,25,3.0,2022,7,14,14,5,3
288,2022-07-14 14:00:00,2094.0,109.0,26.925,2,1.0,2022,7,14,14,5,1
289,2022-07-14 15:00:00,738.0,638.0,3.71,1,4.0,2022,7,14,15,5,4
290,2022-07-14 15:00:00,1698.0,113.0,23.84,21,1.0,2022,7,14,15,5,1
291,2022-07-14 15:00:00,1847.0,80.0,31.974998,10,1.0,2022,7,14,15,5,1
292,2022-07-14 15:00:00,3104.0,180.0,28.53,1,2.0,2022,7,14,15,5,2
293,2022-07-14 15:00:00,1941.0,112.0,24.415,8,1.0,2022,7,14,15,5,1
